"","variable","valor","quants"
"1","school","GP",772
"2","school","MS",272
"3","sex","F",591
"4","sex","M",453
"5","age","15",194
"6","age","16",281
"7","age","17",277
"8","age","18",222
"9","age","19",56
"10","age","20",9
"11","age","21",3
"12","age","22",2
"13","address","R",285
"14","address","U",759
"15","famsize","GT3",738
"16","famsize","LE3",306
"17","Pstatus","A",121
"18","Pstatus","T",923
"19","Medu","0",9
"20","Medu","1",202
"21","Medu","2",289
"22","Medu","3",238
"23","Medu","4",306
"24","Fedu","0",9
"25","Fedu","1",256
"26","Fedu","2",324
"27","Fedu","3",231
"28","Fedu","4",224
"29","Mjob","at_home",194
"30","Mjob","health",82
"31","Mjob","other",399
"32","Mjob","services",239
"33","Mjob","teacher",130
"34","Fjob","at_home",62
"35","Fjob","health",41
"36","Fjob","other",584
"37","Fjob","services",292
"38","Fjob","teacher",65
"39","reason","course",430
"40","reason","home",258
"41","reason","other",108
"42","reason","reputation",248
"43","guardian","father",243
"44","guardian","mother",728
"45","guardian","other",73
"46","traveltime","1",623
"47","traveltime","2",320
"48","traveltime","3",77
"49","traveltime","4",24
"50","studytime","1",317
"51","studytime","2",503
"52","studytime","3",162
"53","studytime","4",62
"54","failures","0",861
"55","failures","1",120
"56","failures","2",33
"57","failures","3",30
"58","schoolsup","no",925
"59","schoolsup","yes",119
"60","famsup","no",404
"61","famsup","yes",640
"62","paid","no",824
"63","paid","yes",220
"64","activities","no",528
"65","activities","yes",516
"66","nursery","no",209
"67","nursery","yes",835
"68","higher","no",89
"69","higher","yes",955
"70","internet","no",217
"71","internet","yes",827
"72","romantic","no",673
"73","romantic","yes",371
"74","famrel","1",30
"75","famrel","2",47
"76","famrel","3",169
"77","famrel","4",512
"78","famrel","5",286
"79","freetime","1",64
"80","freetime","2",171
"81","freetime","3",408
"82","freetime","4",293
"83","freetime","5",108
"84","goout","1",71
"85","goout","2",248
"86","goout","3",335
"87","goout","4",227
"88","goout","5",163
"89","Dalc","1",727
"90","Dalc","2",196
"91","Dalc","3",69
"92","Dalc","4",26
"93","Dalc","5",26
"94","Walc","1",398
"95","Walc","2",235
"96","Walc","3",200
"97","Walc","4",138
"98","Walc","5",73
"99","health","1",137
"100","health","2",123
"101","health","3",215
"102","health","4",174
"103","health","5",395
"104","absences","0",359
"105","absences","1",15
"106","absences","2",175
"107","absences","3",15
"108","absences","4",146
"109","absences","5",17
"110","absences","6",80
"111","absences","7",10
"112","absences","8",64
"113","absences","9",10
"114","absences","10",38
"115","absences","11",8
"116","absences","12",24
"117","absences","13",4
"118","absences","14",20
"119","absences","15",5
"120","absences","16",17
"121","absences","17",1
"122","absences","18",8
"123","absences","19",1
"124","absences","20",4
"125","absences","21",3
"126","absences","22",5
"127","absences","23",1
"128","absences","24",2
"129","absences","25",1
"130","absences","26",2
"131","absences","28",1
"132","absences","30",2
"133","absences","32",1
"134","absences","38",1
"135","absences","40",1
"136","absences","54",1
"137","absences","56",1
"138","absences","75",1
"139","G1","0",1
"140","G1","3",1
"141","G1","4",3
"142","G1","5",12
"143","G1","6",33
"144","G1","7",70
"145","G1","8",83
"146","G1","9",96
"147","G1","10",146
"148","G1","11",130
"149","G1","12",117
"150","G1","13",105
"151","G1","14",101
"152","G1","15",59
"153","G1","16",44
"154","G1","17",24
"155","G1","18",15
"156","G1","19",4
"157","G2","0",20
"158","G2","4",1
"159","G2","5",18
"160","G2","6",21
"161","G2","7",37
"162","G2","8",72
"163","G2","9",122
"164","G2","10",129
"165","G2","11",138
"166","G2","12",127
"167","G2","13",117
"168","G2","14",77
"169","G2","15",72
"170","G2","16",38
"171","G2","17",25
"172","G2","18",26
"173","G2","19",4
"174","G3","0",53
"175","G3","1",1
"176","G3","4",1
"177","G3","5",8
"178","G3","6",18
"179","G3","7",19
"180","G3","8",67
"181","G3","9",63
"182","G3","10",153
"183","G3","11",151
"184","G3","12",103
"185","G3","13",113
"186","G3","14",90
"187","G3","15",82
"188","G3","16",52
"189","G3","17",35
"190","G3","18",27
"191","G3","19",7
"192","G3","20",1
"193","tipus","M",395
"194","tipus","P",649
